Airport Name,City,ICAO,IATA,Exported date
Bellegarde - Vouvray Aerodrome,Bellegarde-sur-Valserine/Vouvray,LFHN,XBF,31/05/2025
Bourg – Ceyzériat Airport,Bourg-en-Bresse/Ceyzériat,LFHS,XBK,31/05/2025
Château-Thierry – Belleau Aerodrome,Château-Thierry/Belleau,LFFH,XCY,31/05/2025
Laon - Chambry Airport,Laon/Chambry,LFAF,XLN,31/05/2025
Soissons - Courmelles Airport,Soissons/Courmelles,LFJS,XSS,31/05/2025
Moulins – Montbeugny Airport,Moulins/Montbeugny,LFHY,XMU,31/05/2025
Vichy — Charmeil Airport,Vichy/Charmeil,LFLV,VHY,31/05/2025
Barcelonnette – Saint-Pons Airfield,Barcelonnette/Saint-Pons,LFMR,BAE,31/05/2025
Gap–Tallard Airport,Gap/Tallard,LFNA,GAT,31/05/2025
Mont-Dauphin - Saint-Crépin Airport,Mont-Dauphin/Saint-Crépin,LFNC,SCP,31/05/2025
Cannes – Mandelieu Airport,Cannes/Mandelieu-la-Napoule,LFMD,CEQ,31/05/2025
Juan-les-Pins Heliport,Juan-les-Pins,,JLP,31/05/2025
Nice Côte d'Azur Airport,Nice/Côte d'Azur,LFMN,NCE,31/05/2025
Cannes - La Croisette Heliport,Cannes/Promenade de la Croisette,,JCA,31/05/2025
Aubenas Aerodrome,Aubenas/Ardèche Méridional,LFHO,OBS,31/05/2025
Sedan - Douzy Airport,Sedan/Douzy,LFSJ,XSW,31/05/2025
Troyes – Barberey Airport,Troyes/Barberey-Saint-Sulpice,LFQB,QYR,31/05/2025
Carcassonne Airport,Carcassonne/ Salvaza,LFMK,CCF,31/05/2025
Rodez–Aveyron Airport,Rodez/Marcillac-Vallon,LFCR,RDZ,31/05/2025
Aubagne - Agora Heliport,Aubagne,,JAH,31/05/2025
Aix-en-Provence Aerodrome(BA 114),Aix-en-Provence/Les Milles,LFMA,QXB,31/05/2025
Istres-Le Tubé Air Base(BA 125),Istres/Le Tubé,LFMI,QIE,31/05/2025
Marseille Provence Airport,Marseille/Marignane,LFML,MRS,31/05/2025
Caen – Carpiquet Airport,Caen/Carpiquet,LFRK,CFR,31/05/2025
Deauville – Normandie Airport,Deauville/ Normandie,LFRG,DOL,31/05/2025
Aurillac – Tronquières Airport,Aurillac,LFLW,AUR,31/05/2025
Angoulême – Cognac International Airport,Angoulême/Brie/Champniers,LFBU,ANG,31/05/2025
Cognac – Châteaubernard Air Base(BA 709),Cognac/Châteaubernard,LFBG,CNG,31/05/2025
La Rochelle – Île de Ré Airport,La Rochelle/Île de Ré,LFBH,LRH,31/05/2025
Rochefort – Saint-Agnant Airport(BA 721)(UAF),Rochefort/Saint-Agnant,LFDN,RCO,31/05/2025
Royan – Médis Aerodrome,Royan/Médis,LFCY,RYN,31/05/2025
Saintes - Thénac Airport(EETAA 722),Saintes/Thénac,LFXB,XST,31/05/2025
Bourges Airport,Bourges,LFLD,BOU,31/05/2025
Vierzon - Méreau Aerodrome,Vierzon/Méreau,LFFV,XVZ,31/05/2025
Brive–Souillac Airport,Brive-la-Gaillarde/Souillac,LFSL,BVE,31/05/2025
Brive–Laroche Airport,Brive-la-Gaillarde/La Roche,LFBV,BVE,31/05/2025
Ajaccio Napoleon Bonaparte Airport,Ajaccio/Campo dell'Oro,LFKJ,AJA,31/05/2025
Figari–Sud Corse Airport,FigariCorse-du-Sud,LFKF,FSC,31/05/2025
Propriano Airport,Propriano,LFKO,PRP,31/05/2025
Solenzara Air Base(BA 126),Sari-Solenzara,LFKS,SOZ,31/05/2025
Bastia – Poretta Airport,Bastia/Poretta,LFKB,BIA,31/05/2025
Calvi – Sainte-Catherine Airport,Calvi/ Sainte-Catherine,LFKC,CLY,31/05/2025
Beaune - Challanges Airport,Beaune/Challanges,LFGF,XBV,31/05/2025
Dijon–Bourgogne Airport(BA 102),Dijon/Longvic,LFSD,DIJ,31/05/2025
Lannion – Côte de Granit Airport,Lannion,LFRO,LAI,31/05/2025
Saint-Brieuc – Armor Airport,Saint-Brieuc/Côtes-d'Armor,LFRT,SBK,31/05/2025
Guéret - Saint-Laurent Airport,Guéret/Saint-Laurent,LFCE,XGT,31/05/2025
Montluçon – Guéret Airport,Montluçon/Guéret,LFBK,MCU,31/05/2025
Bergerac Dordogne Périgord Airport,Bergerac/Roumanière,LFBE,EGC,31/05/2025
Périgueux Bassillac Airport,Périgueux/Bassillac,LFBX,PGX,31/05/2025
Sarlat - Domme Airport,Sarlat-la-Canéda/Domme,LFDS,XSL,31/05/2025
Besançon – La Vèze Aerodrome,Besançon/La Vèze,LFQM,QBQ,31/05/2025
Montbéliard – Courcelles Aerodrome,Montbéliard/Courcelles-lès-Montbéliard,LFSM,XMF,31/05/2025
